"","V1","Group","Word","Validity","Condition","Participant_1","Participant_2","Round"
"1",0,1,"search",1,"Type_1","Participant_17","Participant_13",2
"2",1,1,"heal",1,"Type_1","Participant_17","Participant_13",2
"3",2,1,"hear",1,"Type_1","Participant_17","Participant_13",2
"4",3,1,"race",1,"Type_1","Participant_17","Participant_13",2
"5",4,1,"seal",1,"Type_1","Participant_17","Participant_13",2
"6",5,1,"real",1,"Type_1","Participant_17","Participant_13",2
"7",6,1,"car",1,"Type_1","Participant_17","Participant_13",2
"8",7,1,"cars",1,"Type_1","Participant_17","Participant_13",2
"9",8,1,"ear",1,"Type_1","Participant_17","Participant_13",2
"10",9,1,"eras",1,"Type_1","Participant_17","Participant_13",2
"11",10,1,"era",1,"Type_1","Participant_17","Participant_13",2
"12",11,1,"ears",1,"Type_1","Participant_17","Participant_13",2
"13",12,1,"he",1,"Type_1","Participant_17","Participant_13",2
"14",13,1,"sea",1,"Type_1","Participant_17","Participant_13",2
"15",14,1,"as",1,"Type_1","Participant_17","Participant_13",2
"16",15,1,"hers",1,"Type_1","Participant_17","Participant_13",2
"17",16,1,"has",1,"Type_1","Participant_17","Participant_13",2
"18",17,1,"case",1,"Type_1","Participant_17","Participant_13",2
"19",18,1,"chase",1,"Type_1","Participant_17","Participant_13",2
"20",19,1,"arch",1,"Type_1","Participant_17","Participant_13",2
"21",20,1,"arches",1,"Type_1","Participant_17","Participant_13",2
"22",21,1,"ace",1,"Type_1","Participant_17","Participant_13",2
"23",22,1,"aces",1,"Type_1","Participant_17","Participant_13",2
"24",23,1,"sale",1,"Type_1","Participant_17","Participant_13",2
"25",24,1,"reach",1,"Type_1","Participant_17","Participant_13",2
"26",25,1,"laser",1,"Type_1","Participant_17","Participant_13",2
"27",26,1,"chase",1,"Type_1","Participant_17","Participant_13",2
"28",27,1,"cash",1,"Type_1","Participant_17","Participant_13",2
"29",0,10,"sea",1,"Type_0","Participant_3","Participant_18",2
"30",1,10,"heal",1,"Type_0","Participant_3","Participant_18",2
"31",2,10,"heals",1,"Type_0","Participant_3","Participant_18",2
"32",3,10,"car",1,"Type_0","Participant_3","Participant_18",2
"33",4,10,"cars",1,"Type_0","Participant_3","Participant_18",2
"34",5,10,"reach",1,"Type_0","Participant_3","Participant_18",2
"35",6,10,"real",1,"Type_0","Participant_3","Participant_18",2
"36",7,10,"ache",1,"Type_0","Participant_3","Participant_18",2
"37",8,10,"leach",1,"Type_0","Participant_3","Participant_18",2
"38",9,10,"lear",1,"Type_0","Participant_3","Participant_18",2
"39",10,10,"real",1,"Type_0","Participant_3","Participant_18",2
"40",11,10,"reals",1,"Type_0","Participant_3","Participant_18",2
"41",12,10,"she",1,"Type_0","Participant_3","Participant_18",2
"42",13,10,"he",1,"Type_0","Participant_3","Participant_18",2
"43",14,10,"shea",1,"Type_0","Participant_3","Participant_18",2
"44",15,10,"seal",1,"Type_0","Participant_3","Participant_18",2
"45",16,10,"hear",1,"Type_0","Participant_3","Participant_18",2
"46",17,10,"hears",1,"Type_0","Participant_3","Participant_18",2
"47",18,10,"chase",1,"Type_0","Participant_3","Participant_18",2
"48",19,10,"has",1,"Type_0","Participant_3","Participant_18",2
"49",20,10,"arse",1,"Type_0","Participant_3","Participant_18",2
"50",22,10,"search",1,"Type_0","Participant_3","Participant_18",2
"51",23,10,"leash",1,"Type_0","Participant_3","Participant_18",2
"52",24,10,"lash",1,"Type_0","Participant_3","Participant_18",2
"53",25,10,"rash",1,"Type_0","Participant_3","Participant_18",2
"54",26,10,"cash",1,"Type_0","Participant_3","Participant_18",2
"55",27,10,"hale",1,"Type_0","Participant_3","Participant_18",2
"56",29,10,"ear",1,"Type_0","Participant_3","Participant_18",2
"57",30,10,"lear",1,"Type_0","Participant_3","Participant_18",2
"58",31,10,"leach",1,"Type_0","Participant_3","Participant_18",2
"59",0,11,"has",1,"Type_1","Participant_1","Participant_20",2
"60",1,11,"arse",1,"Type_1","Participant_1","Participant_20",2
"61",4,11,"laser",1,"Type_1","Participant_1","Participant_20",2
