V1,Participant,Word,Validity,Condition,Round
0,ABD,tab,1,Individual,1.0
1,ABD,late,1,Individual,1.0
2,ABD,west,1,Individual,1.0
3,ABD,last,1,Individual,1.0
4,ABD,labs,1,Individual,1.0
5,ABD,swat,1,Individual,1.0
6,ABD,sweat,1,Individual,1.0
7,ABD,teal,1,Individual,1.0
9,ABD,bale,1,Individual,1.0
10,ABD,belt,1,Individual,1.0
12,ABD,blast,1,Individual,1.0
14,ABD,wats,1,Individual,1.0
15,ABD,blew,1,Individual,1.0
17,ABD,tesla,1,Individual,1.0
20,ABD,tale,1,Individual,1.0
21,ABD,wast,1,Individual,1.0
22,ABD,table,1,Individual,1.0
23,ABD,tables,1,Individual,1.0
24,ABD,bales,1,Individual,1.0
26,ABD,steal,1,Individual,1.0
0,Camilla Andersen,east,1,Individual,1.0
1,Camilla Andersen,west,1,Individual,1.0
2,Camilla Andersen,was,1,Individual,1.0
3,Camilla Andersen,best,1,Individual,1.0
4,Camilla Andersen,table,1,Individual,1.0
6,Camilla Andersen,bal,1,Individual,1.0
7,Camilla Andersen,sea,1,Individual,1.0
8,Camilla Andersen,web,1,Individual,1.0
9,Camilla Andersen,bat,1,Individual,1.0
10,Camilla Andersen,last,1,Individual,1.0
11,Camilla Andersen,sat,1,Individual,1.0
12,Camilla Andersen,law,1,Individual,1.0
13,Camilla Andersen,saw,1,Individual,1.0
16,Camilla Andersen,sweat,1,Individual,1.0
17,Camilla Andersen,als,1,Individual,1.0
20,Camilla Andersen,stale,1,Individual,1.0
21,Camilla Andersen,steal,1,Individual,1.0
22,Camilla Andersen,beat,1,Individual,1.0
23,Camilla Andersen,bat,1,Individual,1.0
24,Camilla Andersen,bas,1,Individual,1.0
25,Camilla Andersen,salt,1,Individual,1.0
26,Camilla Andersen,wat,1,Individual,1.0
27,Camilla Andersen,teal,1,Individual,1.0
28,Camilla Andersen,seal,1,Individual,1.0
29,Camilla Andersen,least,1,Individual,1.0
32,Camilla Andersen,last,1,Individual,1.0
34,Camilla Andersen,welt,1,Individual,1.0
35,Camilla Andersen,bats,1,Individual,1.0
36,Camilla Andersen,wet,1,Individual,1.0
37,Camilla Andersen,wets,1,Individual,1.0
38,Camilla Andersen,beat,1,Individual,1.0
39,Camilla Andersen,beats,1,Individual,1.0
42,Camilla Andersen,tables,1,Individual,1.0
43,Camilla Andersen,tables,1,Individual,1.0
44,Camilla Andersen,bats,1,Individual,1.0
45,Camilla Andersen,tabs,1,Individual,1.0
46,Camilla Andersen,eat,1,Individual,1.0
47,Camilla Andersen,tea,1,Individual,1.0
49,Camilla Andersen,beats,1,Individual,1.0
50,Camilla Andersen,labs,1,Individual,1.0
53,Camilla Andersen,seat,1,Individual,1.0
0,Camilla H,sweat,1,Individual,1.0
1,Camilla H,let,1,Individual,1.0
2,Camilla H,lets,1,Individual,1.0
3,Camilla H,bas,1,Individual,1.0
4,Camilla H,base,1,Individual,1.0
5,Camilla H,table,1,Individual,1.0
6,Camilla H,tabs,1,Individual,1.0
7,Camilla H,west,1,Individual,1.0
8,Camilla H,sea,1,Individual,1.0
9,Camilla H,seal,1,Individual,1.0
11,Camilla H,best,1,Individual,1.0
12,Camilla H,set,1,Individual,1.0
13,Camilla H,was,1,Individual,1.0
14,Camilla H,wet,1,Individual,1.0
15,Camilla H,bat,1,Individual,1.0
16,Camilla H,alt,1,Individual,1.0
17,Camilla H,at,1,Individual,1.0
18,Camilla H,law,1,Individual,1.0
19,Camilla H,wet,1,Individual,1.0
20,Camilla H,saw,1,Individual,1.0
21,Camilla H,sew,1,Individual,1.0
22,Camilla H,ale,1,Individual,1.0
23,Camilla H,sale,1,Individual,1.0
24,Camilla H,salt,1,Individual,1.0
25,Camilla H,tea,1,Individual,1.0
26,Camilla H,eat,1,Individual,1.0
27,Camilla H,belt,1,Individual,1.0
28,Camilla H,waste,1,Individual,1.0
29,Camilla H,blew,1,Individual,1.0
30,Camilla H,blast,1,Individual,1.0
31,Camilla H,east,1,Individual,1.0
33,Camilla H,least,1,Individual,1.0
34,Camilla H,last,1,Individual,1.0
0,CBC,west,1,Individual,1.0
1,CBC,lab,1,Individual,1.0
2,CBC,labs,1,Individual,1.0
3,CBC,sat,1,Individual,1.0
4,CBC,seat,1,Individual,1.0
5,CBC,let,1,Individual,1.0
6,CBC,lets,1,Individual,1.0
8,CBC,east,1,Individual,1.0
9,CBC,least,1,Individual,1.0
10,CBC,tab,1,Individual,1.0
11,CBC,tabs,1,Individual,1.0
12,CBC,sew,1,Individual,1.0
13,CBC,saw,1,Individual,1.0
14,CBC,was,1,Individual,1.0
15,CBC,wast,1,Individual,1.0
16,CBC,wat,1,Individual,1.0
18,CBC,waste,1,Individual,1.0
19,CBC,bat,1,Individual,1.0
20,CBC,bats,1,Individual,1.0
21,CBC,lat,1,Individual,1.0
23,CBC,best,1,Individual,1.0
24,CBC,last,1,Individual,1.0
25,CBC,we,1,Individual,1.0
26,CBC,wet,1,Individual,1.0
27,CBC,wets,1,Individual,1.0
28,CBC,at,1,Individual,1.0
29,CBC,beast,1,Individual,1.0
30,CBC,bas,1,Individual,1.0
31,CBC,base,1,Individual,1.0
32,CBC,as,1,Individual,1.0
33,CBC,abs,1,Individual,1.0
34,CBC,belt,1,Individual,1.0
35,CBC,belts,1,Individual,1.0
36,CBC,sea,1,Individual,1.0
37,CBC,salt,1,Individual,1.0
38,CBC,last,1,Individual,1.0
39,CBC,wast,1,Individual,1.0
41,CBC,law,1,Individual,1.0
42,CBC,laws,1,Individual,1.0
43,CBC,bets,1,Individual,1.0
44,CBC,sweat,1,Individual,1.0
45,CBC,stew,1,Individual,1.0
46,CBC,stew,1,Individual,1.0
47,CBC,slaw,1,Individual,1.0
0,CKB,stab,1,Individual,1.0
1,CKB,bas,1,Individual,1.0
2,CKB,west,1,Individual,1.0
3,CKB,lab,1,Individual,1.0
4,CKB,saw,1,Individual,1.0
5,CKB,bat,1,Individual,1.0
6,CKB,tab,1,Individual,1.0
7,CKB,saw,1,Individual,1.0
8,CKB,stew,1,Individual,1.0
9,CKB,table,1,Individual,1.0
10,CKB,tables,1,Individual,1.0
11,CKB,labs,1,Individual,1.0
12,CKB,salt,1,Individual,1.0
13,CKB,last,1,Individual,1.0
14,CKB,blast,1,Individual,1.0
15,CKB,tesla,1,Individual,1.0
16,CKB,base,1,Individual,1.0
17,CKB,bats,1,Individual,1.0
18,CKB,saw,1,Individual,1.0
19,CKB,least,1,Individual,1.0
20,CKB,last,1,Individual,1.0
21,CKB,least,1,Individual,1.0
22,CKB,beast,1,Individual,1.0
23,CKB,beat,1,Individual,1.0
24,CKB,sweat,1,Individual,1.0
0,Julie,west,1,Individual,1.0
1,Julie,set,1,Individual,1.0
3,Julie,swat,1,Individual,1.0
4,Julie,blew,1,Individual,1.0
5,Julie,sew,1,Individual,1.0
6,Julie,stab,1,Individual,1.0
7,Julie,web,1,Individual,1.0
8,Julie,bat,1,Individual,1.0
9,Julie,bats,1,Individual,1.0
10,Julie,lab,1,Individual,1.0
11,Julie,labs,1,Individual,1.0
13,Julie,wat,1,Individual,1.0
14,Julie,law,1,Individual,1.0
15,Julie,laws,1,Individual,1.0
16,Julie,saw,1,Individual,1.0
17,Julie,bas,1,Individual,1.0
18,Julie,base,1,Individual,1.0
19,Julie,lase,1,Individual,1.0
20,Julie,let,1,Individual,1.0
21,Julie,lets,1,Individual,1.0
23,Julie,seat,1,Individual,1.0
24,Julie,sweat,1,Individual,1.0
25,Julie,bal,1,Individual,1.0
27,Julie,steal,1,Individual,1.0
29,Julie,beat,1,Individual,1.0
30,Julie,beats,1,Individual,1.0
32,Julie,tew,1,Individual,1.0
33,Julie,taw,1,Individual,1.0
35,Julie,late,1,Individual,1.0
36,Julie,blate,1,Individual,1.0
37,Julie,slab,1,Individual,1.0
38,Julie,slaw,1,Individual,1.0
40,Julie,es,1,Individual,1.0
41,Julie,tesla,1,Individual,1.0
46,Julie,table,1,Individual,1.0
47,Julie,tables,1,Individual,1.0
48,Julie,wabs,1,Individual,1.0
51,Julie,swab,1,Individual,1.0
0,Karo,base,1,Individual,1.0
2,Karo,lab,1,Individual,1.0
3,Karo,tabs,1,Individual,1.0
4,Karo,tab,1,Individual,1.0
5,Karo,set,1,Individual,1.0
6,Karo,was,1,Individual,1.0
8,Karo,west,1,Individual,1.0
9,Karo,law,1,Individual,1.0
10,Karo,we,1,Individual,1.0
11,Karo,east,1,Individual,1.0
12,Karo,stab,1,Individual,1.0
14,Karo,stew,1,Individual,1.0
15,Karo,steal,1,Individual,1.0
16,Karo,sweat,1,Individual,1.0
17,Karo,bat,1,Individual,1.0
18,Karo,bats,1,Individual,1.0
19,Karo,labs,1,Individual,1.0
21,Karo,web,1,Individual,1.0
22,Karo,webs,1,Individual,1.0
23,Karo,as,1,Individual,1.0
0,KL,alt,1,Individual,1.0
2,KL,west,1,Individual,1.0
3,KL,set,1,Individual,1.0
4,KL,salt,1,Individual,1.0
6,KL,swat,1,Individual,1.0
7,KL,blew,1,Individual,1.0
8,KL,best,1,Individual,1.0
9,KL,sea,1,Individual,1.0
10,KL,sew,1,Individual,1.0
11,KL,stew,1,Individual,1.0
12,KL,stab,1,Individual,1.0
13,KL,law,1,Individual,1.0
14,KL,slaw,1,Individual,1.0
15,KL,last,1,Individual,1.0
16,KL,lab,1,Individual,1.0
17,KL,labs,1,Individual,1.0
18,KL,east,1,Individual,1.0
19,KL,seat,1,Individual,1.0
20,KL,blew,1,Individual,1.0
21,KL,blast,1,Individual,1.0
22,KL,tesla,1,Individual,1.0
23,KL,swab,1,Individual,1.0
0,KRV,table,1,Individual,1.0
1,KRV,tables,1,Individual,1.0
2,KRV,bat,1,Individual,1.0
3,KRV,bats,1,Individual,1.0
