,Participant,Word,Validity
0,CBC,west,1
1,CBC,lab,1
2,CBC,labs,1
3,CBC,sat,1
4,CBC,seat,1
5,CBC,let,1
6,CBC,lets,1
7,CBC,est,0
8,CBC,east,1
9,CBC,least,1
10,CBC,tab,1
11,CBC,tabs,1
12,CBC,sew,1
13,CBC,saw,1
14,CBC,was,1
15,CBC,wast,1
16,CBC,wat,1
17,CBC,ws,0
18,CBC,waste,1
19,CBC,bat,1
20,CBC,bats,1
21,CBC,lat,1
22,CBC,bae,0
23,CBC,best,1
24,CBC,last,1
25,CBC,we,1
26,CBC,wet,1
27,CBC,wets,1
28,CBC,at,1
29,CBC,beast,1
30,CBC,bas,1
31,CBC,base,1
32,CBC,as,1
33,CBC,abs,1
34,CBC,belt,1
35,CBC,belts,1
36,CBC,sea,1
37,CBC,salt,1
38,CBC,last,1
39,CBC,wast,1
40,CBC,sas,0
41,CBC,law,1
42,CBC,laws,1
43,CBC,bets,1
44,CBC,sweat,1
45,CBC,stew,1
46,CBC,stew,1
47,CBC,slaw,1
48,CBC,slae,0
49,CBC,walt,0
50,CBC,stal,0
