,Participant,Word,Validity
0,Camilla Andersen,east,1
1,Camilla Andersen,west,1
2,Camilla Andersen,was,1
3,Camilla Andersen,best,1
4,Camilla Andersen,table,1
5,Camilla Andersen,stal,0
6,Camilla Andersen,bal,1
7,Camilla Andersen,sea,1
8,Camilla Andersen,web,1
9,Camilla Andersen,bat,1
10,Camilla Andersen,last,1
11,Camilla Andersen,sat,1
12,Camilla Andersen,law,1
13,Camilla Andersen,saw,1
14,Camilla Andersen,balt,0
15,Camilla Andersen,baw,0
16,Camilla Andersen,sweat,1
17,Camilla Andersen,als,1
18,Camilla Andersen,abt,0
19,Camilla Andersen,swalt,0
20,Camilla Andersen,stale,1
21,Camilla Andersen,steal,1
22,Camilla Andersen,beat,1
23,Camilla Andersen,bat,1
24,Camilla Andersen,bas,1
25,Camilla Andersen,salt,1
26,Camilla Andersen,wat,1
27,Camilla Andersen,teal,1
28,Camilla Andersen,seal,1
29,Camilla Andersen,least,1
30,Camilla Andersen,,0
31,Camilla Andersen,bla,0
32,Camilla Andersen,last,1
33,Camilla Andersen,walt,0
34,Camilla Andersen,welt,1
35,Camilla Andersen,bats,1
36,Camilla Andersen,wet,1
37,Camilla Andersen,wets,1
38,Camilla Andersen,beat,1
39,Camilla Andersen,beats,1
40,Camilla Andersen,weat,0
41,Camilla Andersen,weats,0
42,Camilla Andersen,tables,1
43,Camilla Andersen,tables,1
44,Camilla Andersen,bats,1
45,Camilla Andersen,tabs,1
46,Camilla Andersen,eat,1
47,Camilla Andersen,tea,1
48,Camilla Andersen,tee,0
49,Camilla Andersen,beats,1
50,Camilla Andersen,labs,1
51,Camilla Andersen,steals,0
52,Camilla Andersen,swelt,0
53,Camilla Andersen,seat,1
