,Participant,Word,Validity
0,Camilla H,sweat,1
1,Camilla H,let,1
2,Camilla H,lets,1
3,Camilla H,bas,1
4,Camilla H,base,1
5,Camilla H,table,1
6,Camilla H,tabs,1
7,Camilla H,west,1
8,Camilla H,sea,1
9,Camilla H,seal,1
10,Camilla H,swear,0
11,Camilla H,best,1
12,Camilla H,set,1
13,Camilla H,was,1
14,Camilla H,wet,1
15,Camilla H,bat,1
16,Camilla H,alt,1
17,Camilla H,at,1
18,Camilla H,law,1
19,Camilla H,wet,1
20,Camilla H,saw,1
21,Camilla H,sew,1
22,Camilla H,ale,1
23,Camilla H,sale,1
24,Camilla H,salt,1
25,Camilla H,tea,1
26,Camilla H,eat,1
27,Camilla H,belt,1
28,Camilla H,waste,1
29,Camilla H,blew,1
30,Camilla H,blast,1
31,Camilla H,east,1
32,Camilla H,taste,0
33,Camilla H,least,1
34,Camilla H,last,1
