,Participant,Word,Validity
0,Julie,west,1
1,Julie,set,1
2,Julie,bae,0
3,Julie,swat,1
4,Julie,blew,1
5,Julie,sew,1
6,Julie,stab,1
7,Julie,web,1
8,Julie,bat,1
9,Julie,bats,1
10,Julie,lab,1
11,Julie,labs,1
12,Julie,stel,0
13,Julie,wat,1
14,Julie,law,1
15,Julie,laws,1
16,Julie,saw,1
17,Julie,bas,1
18,Julie,base,1
19,Julie,lase,1
20,Julie,let,1
21,Julie,lets,1
22,Julie,swet,0
23,Julie,seat,1
24,Julie,sweat,1
25,Julie,bal,1
26,Julie,stel,0
27,Julie,steal,1
28,Julie,leat,0
29,Julie,beat,1
30,Julie,beats,1
31,Julie,bew,0
32,Julie,tew,1
33,Julie,taw,1
34,Julie,swel,0
35,Julie,late,1
36,Julie,blate,1
37,Julie,slab,1
38,Julie,slaw,1
39,Julie,se,0
40,Julie,es,1
41,Julie,tesla,1
42,Julie,bla,0
43,Julie,bla,0
44,Julie,blas,0
45,Julie,esta,0
46,Julie,table,1
47,Julie,tables,1
48,Julie,wabs,1
49,Julie,swealt,0
50,Julie,sweab,0
51,Julie,swab,1
52,Julie,blas,0
53,Julie,baes,0
