,Participant,Word,Validity
0,KRV,table,1
1,KRV,tables,1
2,KRV,bat,1
3,KRV,bats,1
4,KRV,stab,1
5,KRV,tab,1
6,KRV,tabs,1
7,KRV,late,1
8,KRV,last,1
9,KRV,law,1
10,KRV,laws,1
11,KRV,blast,1
12,KRV,beast,1
13,KRV,best,1
14,KRV,west,1
15,KRV,wet,1
16,KRV,wets,1
17,KRV,bas,1
18,KRV,steal,1
19,KRV,least,1
20,KRV,tea,1
21,KRV,teas,1
22,KRV,seat,1
23,KRV,sweat,1
24,KRV,belt,1
25,KRV,belts,1
26,KRV,lab,1
27,KRV,labs,1
28,KRV,blast,1
29,KRV,saw,1
30,KRV,wast,1
31,KRV,waste,1
32,KRV,was,1
33,KRV,sale,1
34,KRV,eat,1
35,KRV,east,1
36,KRV,salt,1
37,KRV,blew,1
38,KRV,beast,1
39,KRV,tab,1
40,KRV,tabs,1
41,KRV,bet,1
42,KRV,bets,1
43,KRV,stab,1
