,Participant,Word,Validity
0,Line,lab,1
1,Line,labs,1
2,Line,base,1
3,Line,was,1
4,Line,law,1
5,Line,laws,1
6,Line,salt,1
7,Line,bat,1
8,Line,bts,0
9,Line,set,1
10,Line,saw,1
11,Line,sew,1
12,Line,late,1
13,Line,waste,1
14,Line,bes,1
15,Line,let,1
16,Line,bet,1
17,Line,wet,1
18,Line,set,1
19,Line,st,0
20,Line,west,1
21,Line,last,1
22,Line,awe,1
23,Line,tale,1
24,Line,tales,1
25,Line,last,1
26,Line,blt,0
27,Line,plew,0
28,Line,blew,1
29,Line,blast,1
30,Line,alt,1
31,Line,ate,1
32,Line,ew,0
33,Line,aw,1
