,Participant,Word,Validity
0,MHFA,wet,1
1,MHFA,lab,1
2,MHFA,sew,1
3,MHFA,bat,1
4,MHFA,tab,1
5,MHFA,law,1
6,MHFA,set,1
7,MHFA,seal,1
8,MHFA,sat,1
9,MHFA,late,1
10,MHFA,saw,1
11,MHFA,let,1
12,MHFA,lets,1
13,MHFA,bats,1
14,MHFA,tabs,1
15,MHFA,late,1
16,MHFA,labs,1
17,MHFA,teal,1
18,MHFA,tea,1
19,MHFA,teas,1
20,MHFA,best,1
21,MHFA,sale,1
22,MHFA,tales,1
23,MHFA,tale,1
24,MHFA,beat,1
25,MHFA,beats,1
26,MHFA,abs,1
27,MHFA,ale,1
28,MHFA,sat,1
29,MHFA,awe,1
30,MHFA,stew,1
31,MHFA,stab,1
32,MHFA,swab,1
33,MHFA,sweat,1
34,MHFA,stale,1
35,MHFA,blew,1
36,MHFA,blast,1
37,MHFA,swat,1
38,MHFA,laws,1
39,MHFA,base,1
40,MHFA,sale,1
41,MHFA,teal,1
42,MHFA,last,1
43,MHFA,waste,1
44,MHFA,blates,0
45,MHFA,eal,0
46,MHFA,table,1
47,MHFA,tables,1
48,MHFA,tales,1
49,MHFA,west,1
50,MHFA,least,1
51,MHFA,weast,0
52,MHFA,beast,1
53,MHFA,steal,1
