,Participant,Word,Validity
0,MSL,wale,1
1,MSL,wales,1
2,MSL,sale,1
3,MSL,salt,1
4,MSL,sew,1
5,MSL,west,1
6,MSL,belt,1
7,MSL,bas,1
8,MSL,base,1
9,MSL,last,1
10,MSL,law,1
11,MSL,laws,1
12,MSL,saw,1
13,MSL,tase,0
14,MSL,waste,1
15,MSL,bat,1
16,MSL,lab,1
17,MSL,stale,1
18,MSL,steal,1
19,MSL,seal,1
20,MSL,wet,1
21,MSL,tesla,1
22,MSL,web,1
23,MSL,webs,1
24,MSL,set,1
25,MSL,was,1
26,MSL,tab,1
27,MSL,tabs,1
28,MSL,table,1
29,MSL,tables,1
30,MSL,late,1
31,MSL,slate,1
32,MSL,swat,1
33,MSL,stew,1
34,MSL,bet,1
35,MSL,bets,1
36,MSL,teal,1
37,MSL,swab,1
38,MSL,sab,1
39,MSL,stab,1
40,MSL,bale,1
41,MSL,bales,1
42,MSL,sweat,1
43,MSL,awe,1
44,MSL,awes,1
45,MSL,tales,1
46,MSL,tabel,0
47,MSL,sabel,0
48,MSL,sable,1
49,MSL,sat,1
50,MSL,seat,1
51,MSL,beats,1
52,MSL,beat,1
53,MSL,let,1
