,Participant,Word,Validity
0,Marie Louise Moeller,west,1
1,Marie Louise Moeller,lets,1
2,Marie Louise Moeller,blast,1
3,Marie Louise Moeller,set,1
4,Marie Louise Moeller,let,1
5,Marie Louise Moeller,bet,1
6,Marie Louise Moeller,bat,1
7,Marie Louise Moeller,wet,1
8,Marie Louise Moeller,tab,1
9,Marie Louise Moeller,wat,1
10,Marie Louise Moeller,bets,1
11,Marie Louise Moeller,abe,0
12,Marie Louise Moeller,babe,0
13,Marie Louise Moeller,bae,0
14,Marie Louise Moeller,bals,1
15,Marie Louise Moeller,bar,0
16,Marie Louise Moeller,sal,1
17,Marie Louise Moeller,sel,1
18,Marie Louise Moeller,bles,0
19,Marie Louise Moeller,blew,1
20,Marie Louise Moeller,belt,1
21,Marie Louise Moeller,swat,1
22,Marie Louise Moeller,walt,0
23,Marie Louise Moeller,swab,1
24,Marie Louise Moeller,web,1
25,Marie Louise Moeller,sweat,1
26,Marie Louise Moeller,bats,1
27,Marie Louise Moeller,tabs,1
28,Marie Louise Moeller,wable,0
29,Marie Louise Moeller,wasb,0
30,Marie Louise Moeller,belts,1
