,Participant,Word,Validity
0,Oli,bat,1
1,Oli,tesla,1
2,Oli,west,1
3,Oli,ale,1
4,Oli,bale,1
5,Oli,sale,1
6,Oli,wale,1
7,Oli,east,1
8,Oli,taste,0
9,Oli,table,1
10,Oli,sable,1
11,Oli,able,1
12,Oli,tab,1
13,Oli,tabs,1
14,Oli,table,1
15,Oli,tables,1
16,Oli,at,1
17,Oli,a,0
18,Oli,et,1
19,Oli,tea,1
20,Oli,was,1
21,Oli,waste,1
22,Oli,best,1
23,Oli,taste,0
24,Oli,blast,1
25,Oli,lab,1
26,Oli,label,0
27,Oli,bas,1
28,Oli,blew,1
29,Oli,wet,1
30,Oli,wes,0
31,Oli,wet,1
32,Oli,web,1
33,Oli,webs,1
34,Oli,last,1
35,Oli,blast,1
36,Oli,bat,1
37,Oli,bet,1
38,Oli,sweat,1
39,Oli,swat,1
40,Oli,twat,0
41,Oli,tweet,0
42,Oli,weat,0
43,Oli,tale,1
44,Oli,tales,1
45,Oli,late,1
46,Oli,a,0
47,Oli,lates,0
48,Oli,bae,0
49,Oli,least,1
50,Oli,beat,1
51,Oli,beast,1
