,Participant,Word,Validity
0,RGH,late,1
1,RGH,bat,1
2,RGH,wet,1
3,RGH,sew,1
4,RGH,lab,1
5,RGH,labs,1
6,RGH,tab,1
7,RGH,tabs,1
8,RGH,law,1
9,RGH,laws,1
10,RGH,set,1
11,RGH,let,1
12,RGH,bawl,1
13,RGH,best,1
14,RGH,a,0
15,RGH,as,1
16,RGH,at,1
17,RGH,set,1
18,RGH,web,1
19,RGH,webs,1
20,RGH,let,1
21,RGH,lets,1
22,RGH,bet,1
23,RGH,bets,1
24,RGH,bats,1
25,RGH,was,1
26,RGH,saw,1
27,RGH,sat,1
28,RGH,bas,1
29,RGH,be,1
30,RGH,laws,1
31,RGH,tel,1
32,RGH,west,1
33,RGH,lest,1
34,RGH,last,1
35,RGH,bast,1
36,RGH,alt,1
37,RGH,swet,0
38,RGH,abs,1
39,RGH,aw,1
40,RGH,awe,1
41,RGH,tesla,1
42,RGH,swab,1
43,RGH,swat,1
44,RGH,baw,0
45,RGH,belt,1
46,RGH,belts,1
47,RGH,welt,1
48,RGH,salt,1
49,RGH,blew,1
50,RGH,blews,0
