,Participant,Word,Validity
0,Sim,last,1
1,Sim,sweat,1
2,Sim,lab,1
3,Sim,labs,1
4,Sim,abe,0
5,Sim,abes,0
6,Sim,walt,0
7,Sim,blew,1
8,Sim,law,1
9,Sim,laws,1
10,Sim,blast,1
11,Sim,stab,1
12,Sim,west,1
13,Sim,stew,1
14,Sim,wes,0
15,Sim,bat,1
16,Sim,bats,1
17,Sim,bet,1
18,Sim,bets,1
19,Sim,last,1
20,Sim,blew,1
21,Sim,sew,1
22,Sim,sews,0
23,Sim,lase,1
24,Sim,set,1
25,Sim,sat,1
26,Sim,bas,1
27,Sim,law,1
28,Sim,tea,1
29,Sim,labs,1
30,Sim,set,1
31,Sim,sets,0
32,Sim,sews,0
33,Sim,tal,0
34,Sim,let,1
35,Sim,lets,1
36,Sim,sweats,0
37,Sim,saw,1
38,Sim,wat,1
39,Sim,beat,1
40,Sim,beats,1
41,Sim,blew,1
