,Participant,Word,Validity
0,stine,ba,1
1,stine,bat,1
2,stine,bats,1
3,stine,west,1
4,stine,tesla,1
5,stine,a,0
6,stine,best,1
7,stine,bet,1
8,stine,wet,1
9,stine,bets,1
10,stine,wets,1
11,stine,let,1
12,stine,lets,1
13,stine,blast,1
14,stine,blew,1
15,stine,law,1
16,stine,laws,1
17,stine,saw,1
18,stine,sew,1
19,stine,lab,1
20,stine,labs,1
21,stine,tab,1
22,stine,tabs,1
23,stine,able,1
24,stine,table,1
25,stine,tables,1
26,stine,swat,1
27,stine,slaw,1
28,stine,base,1
29,stine,best,1
30,stine,sweat,1
