,Participant,Word,Validity
0,tsls2,west,1
1,tsls2,salt,1
2,tsls2,blt,0
3,tsls2,alt,1
4,tsls2,bat,1
5,tsls2,law,1
6,tsls2,tesla,1
7,tsls2,web,1
8,tsls2,balt,0
9,tsls2,sweat,1
10,tsls2,tab,1
11,tsls2,tables,1
12,tsls2,table,1
13,tsls2,set,1
14,tsls2,swat,1
15,tsls2,beats,1
16,tsls2,beat,1
17,tsls2,bats,1
18,tsls2,stab,1
19,tsls2,steal,1
20,tsls2,seal,1
21,tsls2,teal,1
22,tsls2,beal,0
23,tsls2,balt,0
24,tsls2,was,1
25,tsls2,salt,1
26,tsls2,last,1
27,tsls2,wet,1
28,tsls2,wabe,0
29,tsls2,tables,1
30,tsls2,table,1
31,tsls2,tab,1
32,tsls2,steal,1
33,tsls2,stable,1
34,tsls2,stab,1
35,tsls2,stew,1
