,Group,Word,Validity,Condition,Participant
0,7,tame,1,Type_1,1
1,7,eat,1,Type_1,1
2,7,heat,1,Type_1,1
3,7,seat,1,Type_1,1
4,7,sem,0,Type_1,1
5,7,sea,1,Type_1,1
6,7,sec,1,Type_1,1
7,7,hate,1,Type_1,1
8,7,hates,0,Type_1,1
9,7,mate,1,Type_1,1
10,7,mates,1,Type_1,1
11,7,he,1,Type_1,1
12,7,she,1,Type_1,1
13,7,heat,1,Type_1,1
14,7,hat,1,Type_1,1
15,7,heats,1,Type_1,1
16,7,hats,1,Type_1,1
17,7,hase,0,Type_1,1
18,7,sat,1,Type_1,1
19,7,cat,1,Type_1,1
20,7,cate,1,Type_1,1
21,7,tea,1,Type_1,1
22,7,teas,1,Type_1,1
23,7,team,1,Type_1,1
24,7,tea1,1,Type_1,1
25,7,came,1,Type_1,1
26,7,cam,1,Type_1,1
27,7,same,1,Type_1,1
28,7,sate,1,Type_1,1
29,7,shame,1,Type_1,1
30,7,cast,1,Type_1,1
31,7,chase,1,Type_1,1
32,7,cheat,1,Type_1,1
33,7,cheats,1,Type_1,1
34,7,chat,1,Type_1,1
35,7,chats,1,Type_1,1
36,7,cas,0,Type_1,1
37,7,mast,1,Type_1,1
38,7,mash,1,Type_1,1
39,7,hast,1,Type_1,1
40,7,haste,1,Type_1,1
41,7,hate,1,Type_1,1
42,7,hates,0,Type_1,1
43,7,hash,0,Type_1,1
44,7,hat,1,Type_1,1
45,7,case,1,Type_1,1
46,7,came,1,Type_1,1
47,7,ash,1,Type_1,1
48,7,ame,0,Type_1,1
49,7,ate,1,Type_1,1
50,7,ace,1,Type_1,1
51,7,aes,0,Type_1,1
52,7,a,0,Type_1,1
53,7,hat,1,Type_1,1
54,7,sat,1,Type_1,1
55,7,shame,1,Type_1,1
56,7,sht,0,Type_1,1
57,7,smac,0,Type_1,1
58,7,stas,0,Type_1,1
59,7,eats,1,Type_1,1
60,7,tea,1,Type_1,1
61,7,shat,1,Type_1,1
62,7,mat,1,Type_1,1
63,7,mats,1,Type_1,1
64,7,mase,0,Type_1,1
65,7,team,1,Type_1,1
66,7,tea1,1,Type_1,1
67,7,shace,0,Type_1,1
68,7,stem,1,Type_1,1
69,7,same,1,Type_1,1
