,Group,Word,Validity,Condition,Participant
0,11,mash,1,Type_1,ABD
1,11,mast,1,Type_1,ABD
2,11,mech,0,Type_1,ABD
3,11,tase,0,Type_1,ABD
4,11,met,1,Type_1,ABD
5,11,cat,1,Type_1,ABD
6,11,cats,1,Type_1,ABD
7,11,scat,1,Type_1,ABD
8,11,shat,1,Type_1,ABD
9,11,mase,0,Type_1,ABD
10,11,same,1,Type_1,ABD
11,11,ate,1,Type_1,ABD
12,11,eat,1,Type_1,ABD
13,11,tame,1,Type_1,ABD
14,11,team,1,Type_1,ABD
15,11,teams,1,Type_1,ABD
16,11,hat,1,Type_1,ABD
17,11,hats,1,Type_1,ABD
18,11,mats,1,Type_1,ABD
19,11,stem,1,Type_1,ABD
20,11,steam,1,Type_1,ABD
21,11,meat,1,Type_1,ABD
22,11,meats,1,Type_1,ABD
23,11,seam,1,Type_1,ABD
24,11,ham,1,Type_1,ABD
25,11,hams,1,Type_1,ABD
26,11,seat,1,Type_1,ABD
27,11,heat,1,Type_1,ABD
28,11,case,1,Type_1,ABD
29,11,came,1,Type_1,ABD
30,11,a,0,Type_1,ABD
31,11,me,1,Type_1,ABD
32,11,ace,1,Type_1,ABD
33,11,at,1,Type_1,ABD
34,11,cash,1,Type_1,ABD
35,11,east,1,Type_1,ABD
36,11,mat,1,Type_1,ABD
37,11,tema,0,Type_1,ABD
38,11,tea,1,Type_1,ABD
39,11,temas,0,Type_1,ABD
40,11,tech,1,Type_1,ABD
41,11,as,1,Type_1,ABD
42,11,has,1,Type_1,ABD
43,11,tase,0,Type_1,ABD
44,11,mate,1,Type_1,ABD
45,11,smat,0,Type_1,ABD
46,11,hat,1,Type_1,ABD
47,11,hate,1,Type_1,ABD
48,11,cash,1,Type_1,ABD
49,11,mash,1,Type_1,ABD
50,11,aset,0,Type_1,ABD
51,11,cheat,1,Type_1,ABD
52,11,cheats,1,Type_1,ABD
53,11,seach,0,Type_1,ABD
