,Group,Word,Validity,Condition,Participant
0,9,seat,1,Type_0,Camilla Andersen
1,9,set,1,Type_0,Camilla Andersen
2,9,eat,1,Type_0,Camilla Andersen
3,9,eats,1,Type_0,Camilla Andersen
4,9,sat,1,Type_0,Camilla Andersen
5,9,mat,1,Type_0,Camilla Andersen
6,9,has,1,Type_0,Camilla Andersen
7,9,mesh,1,Type_0,Camilla Andersen
8,9,steam,1,Type_0,Camilla Andersen
9,9,meat,1,Type_0,Camilla Andersen
10,9,meat,1,Type_0,Camilla Andersen
11,9,meats,1,Type_0,Camilla Andersen
12,9,heat,1,Type_0,Camilla Andersen
13,9,heats,1,Type_0,Camilla Andersen
14,9,stem,1,Type_0,Camilla Andersen
15,9,team,1,Type_0,Camilla Andersen
16,9,teams,1,Type_0,Camilla Andersen
17,9,chat,1,Type_0,Camilla Andersen
18,9,cheat,1,Type_0,Camilla Andersen
19,9,chats,1,Type_0,Camilla Andersen
20,9,cheats,1,Type_0,Camilla Andersen
21,9,teach,1,Type_0,Camilla Andersen
22,9,tech,1,Type_0,Camilla Andersen
23,9,cat,1,Type_0,Camilla Andersen
24,9,cats,1,Type_0,Camilla Andersen
25,9,mat,1,Type_0,Camilla Andersen
26,9,mats,1,Type_0,Camilla Andersen
27,9,ate,1,Type_0,Camilla Andersen
28,9,atesspace,0,Type_0,Camilla Andersen
29,9,ates,1,Type_0,Camilla Andersen
30,9,atm,0,Type_0,Camilla Andersen
31,9,east,1,Type_0,Camilla Andersen
32,9,set,1,Type_0,Camilla Andersen
33,9,met,1,Type_0,Camilla Andersen
34,9,chem,0,Type_0,Camilla Andersen
35,9,meal,0,Type_0,Camilla Andersen
36,9,meals,0,Type_0,Camilla Andersen
37,9,seal,0,Type_0,Camilla Andersen
38,9,seals,0,Type_0,Camilla Andersen
39,9,eal,0,Type_0,Camilla Andersen
40,9,eals,0,Type_0,Camilla Andersen
41,9,teal,0,Type_0,Camilla Andersen
42,9,teals,0,Type_0,Camilla Andersen
43,9,set,1,Type_0,Camilla Andersen
44,9,sets,0,Type_0,Camilla Andersen
45,9,cash,1,Type_0,Camilla Andersen
46,9,sat,1,Type_0,Camilla Andersen
47,9,steach,0,Type_0,Camilla Andersen
48,9,mas,1,Type_0,Camilla Andersen
49,9,teach,1,Type_0,Camilla Andersen
50,9,sah,0,Type_0,Camilla Andersen
51,9,sas,0,Type_0,Camilla Andersen
52,9,seas,0,Type_0,Camilla Andersen
53,9,she,1,Type_0,Camilla Andersen
54,9,he,1,Type_0,Camilla Andersen
55,9,hes,1,Type_0,Camilla Andersen
56,9,sheat,0,Type_0,Camilla Andersen
57,9,seat,1,Type_0,Camilla Andersen
58,9,tea,1,Type_0,Camilla Andersen
59,9,teas,1,Type_0,Camilla Andersen
60,9,smear,0,Type_0,Camilla Andersen
61,9,schear,0,Type_0,Camilla Andersen
62,9,shat,1,Type_0,Camilla Andersen
63,9,seach,0,Type_0,Camilla Andersen
64,9,ate,1,Type_0,Camilla Andersen
65,9,sate,1,Type_0,Camilla Andersen
66,9,ame,0,Type_0,Camilla Andersen
67,9,at,1,Type_0,Camilla Andersen
68,9,a,0,Type_0,Camilla Andersen
69,9,hes,1,Type_0,Camilla Andersen
70,9,mesh,1,Type_0,Camilla Andersen
71,9,meash,0,Type_0,Camilla Andersen
72,9,mash,1,Type_0,Camilla Andersen
73,9,meash,0,Type_0,Camilla Andersen
74,9,cate,1,Type_0,Camilla Andersen
75,9,cates,1,Type_0,Camilla Andersen
