,Group,Word,Validity,Condition,Participant
0,10,team,1,Type_0,Camilla H
1,10,chat,1,Type_0,Camilla H
2,10,cheat,1,Type_0,Camilla H
3,10,shet,0,Type_0,Camilla H
4,10,shea,1,Type_0,Camilla H
5,10,mt,0,Type_0,Camilla H
6,10,hat,1,Type_0,Camilla H
7,10,hats,1,Type_0,Camilla H
8,10,haste,1,Type_0,Camilla H
9,10,ham,1,Type_0,Camilla H
10,10,mat,1,Type_0,Camilla H
11,10,mats,1,Type_0,Camilla H
12,10,chats,1,Type_0,Camilla H
13,10,teams,1,Type_0,Camilla H
14,10,eat,1,Type_0,Camilla H
15,10,meat,1,Type_0,Camilla H
16,10,heat,1,Type_0,Camilla H
17,10,heats,1,Type_0,Camilla H
18,10,hams,1,Type_0,Camilla H
19,10,mat,1,Type_0,Camilla H
20,10,mats,1,Type_0,Camilla H
21,10,steam,1,Type_0,Camilla H
22,10,cat,1,Type_0,Camilla H
23,10,cats,1,Type_0,Camilla H
24,10,sat,1,Type_0,Camilla H
25,10,same,1,Type_0,Camilla H
26,10,shame,1,Type_0,Camilla H
27,10,sat,1,Type_0,Camilla H
28,10,hats,1,Type_0,Camilla H
29,10,am,1,Type_0,Camilla H
30,10,ate,1,Type_0,Camilla H
31,10,haste,1,Type_0,Camilla H
32,10,ache,1,Type_0,Camilla H
33,10,the,1,Type_0,Camilla H
34,10,stam,0,Type_0,Camilla H
35,10,mat,1,Type_0,Camilla H
36,10,mash,1,Type_0,Camilla H
37,10,tech,1,Type_0,Camilla H
38,10,came,1,Type_0,Camilla H
39,10,cam,1,Type_0,Camilla H
40,10,cheats,1,Type_0,Camilla H
41,10,steam,1,Type_0,Camilla H
42,10,mast,1,Type_0,Camilla H
43,10,heast,0,Type_0,Camilla H
44,10,tame,1,Type_0,Camilla H
45,10,tames,1,Type_0,Camilla H
46,10,aches,1,Type_0,Camilla H
47,10,she,1,Type_0,Camilla H
48,10,he,1,Type_0,Camilla H
49,10,same,1,Type_0,Camilla H
50,10,cash,1,Type_0,Camilla H
51,10,has,1,Type_0,Camilla H
52,10,stam,0,Type_0,Camilla H
53,10,same,1,Type_0,Camilla H
