,Group,Word,Validity,Condition,Participant
0,6,sheat,0,Type_0,Julie
1,6,sceam,0,Type_0,Julie
2,6,team,1,Type_0,Julie
3,6,teams,1,Type_0,Julie
4,6,she,1,Type_0,Julie
5,6,he,1,Type_0,Julie
6,6,hes,1,Type_0,Julie
7,6,meat,1,Type_0,Julie
8,6,meats,1,Type_0,Julie
9,6,case,1,Type_0,Julie
10,6,chase,1,Type_0,Julie
11,6,mse,0,Type_0,Julie
12,6,mase,0,Type_0,Julie
13,6,ham,1,Type_0,Julie
14,6,shame,1,Type_0,Julie
15,6,stem,1,Type_0,Julie
16,6,mate,1,Type_0,Julie
17,6,mates,1,Type_0,Julie
18,6,cat,1,Type_0,Julie
19,6,cats,1,Type_0,Julie
20,6,same,1,Type_0,Julie
21,6,tame,1,Type_0,Julie
22,6,tames,1,Type_0,Julie
23,6,steam,1,Type_0,Julie
24,6,sea,1,Type_0,Julie
25,6,cheat,1,Type_0,Julie
26,6,cheats,1,Type_0,Julie
27,6,sheat,0,Type_0,Julie
28,6,heat,1,Type_0,Julie
29,6,heats,1,Type_0,Julie
30,6,cash,1,Type_0,Julie
31,6,schema,1,Type_0,Julie
32,6,mash,1,Type_0,Julie
33,6,hem,1,Type_0,Julie
34,6,chat,1,Type_0,Julie
35,6,chats,1,Type_0,Julie
36,6,has,1,Type_0,Julie
37,6,set,1,Type_0,Julie
38,6,met,1,Type_0,Julie
39,6,cheas,0,Type_0,Julie
40,6,es,1,Type_0,Julie
41,6,ase,0,Type_0,Julie
42,6,tase,0,Type_0,Julie
43,6,tame,1,Type_0,Julie
44,6,scate,0,Type_0,Julie
45,6,scates,0,Type_0,Julie
46,6,chats,1,Type_0,Julie
47,6,har,0,Type_0,Julie
48,6,hares,0,Type_0,Julie
49,6,hat,1,Type_0,Julie
50,6,hats,1,Type_0,Julie
51,6,sat,1,Type_0,Julie
52,6,mash,1,Type_0,Julie
53,6,sheat,0,Type_0,Julie
54,6,schema,1,Type_0,Julie
55,6,mate,1,Type_0,Julie
56,6,mates,1,Type_0,Julie
57,6,tema,0,Type_0,Julie
58,6,temas,0,Type_0,Julie
59,6,scate,0,Type_0,Julie
60,6,scat,1,Type_0,Julie
61,6,sceat,0,Type_0,Julie
62,6,sheat,0,Type_0,Julie
63,6,heat,1,Type_0,Julie
64,6,heats,1,Type_0,Julie
65,6,cam,1,Type_0,Julie
66,6,cash,1,Type_0,Julie
67,6,stam,0,Type_0,Julie
68,6,dag,0,Type_0,Julie
69,6,tame,1,Type_0,Julie
70,6,tames,1,Type_0,Julie
71,6,met,1,Type_0,Julie
72,6,mets,0,Type_0,Julie
73,6,smact,0,Type_0,Julie
74,6,tash,0,Type_0,Julie
75,6,tac,0,Type_0,Julie
76,6,ac,0,Type_0,Julie
77,6,ase,0,Type_0,Julie
78,6,hase,0,Type_0,Julie
