,Group,Word,Validity,Condition,Participant
0,6,meat,1,Type_1,KRV
1,6,meats,1,Type_1,KRV
2,6,steam,1,Type_1,KRV
3,6,seam,1,Type_1,KRV
4,6,sheat,0,Type_1,KRV
5,6,heat,1,Type_1,KRV
6,6,hate,1,Type_1,KRV
7,6,hates,0,Type_1,KRV
8,6,mash,1,Type_1,KRV
9,6,mate,1,Type_1,KRV
10,6,mates,1,Type_1,KRV
11,6,mat,1,Type_1,KRV
12,6,mats,1,Type_1,KRV
13,6,same,1,Type_1,KRV
14,6,met,1,Type_1,KRV
15,6,hat,1,Type_1,KRV
16,6,hats,1,Type_1,KRV
17,6,cam,1,Type_1,KRV
18,6,cams,1,Type_1,KRV
19,6,came,1,Type_1,KRV
20,6,cat,1,Type_1,KRV
21,6,cats,1,Type_1,KRV
22,6,has,1,Type_1,KRV
23,6,sat,1,Type_1,KRV
24,6,seat,1,Type_1,KRV
25,6,scam,1,Type_1,KRV
26,6,set,1,Type_1,KRV
27,6,cash,1,Type_1,KRV
28,6,cast,1,Type_1,KRV
29,6,sea,1,Type_1,KRV
30,6,ase,0,Type_1,KRV
31,6,same,1,Type_1,KRV
32,6,case,1,Type_1,KRV
33,6,tech,1,Type_1,KRV
34,6,tea,1,Type_1,KRV
35,6,ate,1,Type_1,KRV
36,6,tame,1,Type_1,KRV
37,6,team,1,Type_1,KRV
38,6,teams,1,Type_1,KRV
39,6,chest,1,Type_1,KRV
40,6,set,1,Type_1,KRV
41,6,chase,1,Type_1,KRV
42,6,shame,1,Type_1,KRV
43,6,steam,1,Type_1,KRV
44,6,cheat,1,Type_1,KRV
45,6,cheats,1,Type_1,KRV
46,6,she,1,Type_1,KRV
47,6,cat,1,Type_1,KRV
48,6,the,1,Type_1,KRV
49,6,ham,1,Type_1,KRV
50,6,hams,1,Type_1,KRV
51,6,scam,1,Type_1,KRV
52,6,same,1,Type_1,KRV
