,Group,Word,Validity,Condition,Participant
0,12,sheat,0,Type_1,Karo
1,12,meat,1,Type_1,Karo
2,12,meats,1,Type_1,Karo
3,12,heat,1,Type_1,Karo
4,12,heats,1,Type_1,Karo
5,12,team,1,Type_1,Karo
6,12,teams,1,Type_1,Karo
7,12,mase,0,Type_1,Karo
8,12,case,1,Type_1,Karo
9,12,sea,1,Type_1,Karo
10,12,stem,1,Type_1,Karo
11,12,sate,1,Type_1,Karo
12,12,hate,1,Type_1,Karo
13,12,mate,1,Type_1,Karo
14,12,mates,1,Type_1,Karo
15,12,cam,1,Type_1,Karo
16,12,as,1,Type_1,Karo
17,12,he,1,Type_1,Karo
18,12,hes,1,Type_1,Karo
19,12,she,1,Type_1,Karo
20,12,them,1,Type_1,Karo
21,12,cheat,1,Type_1,Karo
22,12,seat,1,Type_1,Karo
23,12,cat,1,Type_1,Karo
24,12,cats,1,Type_1,Karo
25,12,mats,1,Type_1,Karo
26,12,mat,1,Type_1,Karo
27,12,sat,1,Type_1,Karo
28,12,hat,1,Type_1,Karo
29,12,hats,1,Type_1,Karo
30,12,tame,1,Type_1,Karo
31,12,tames,1,Type_1,Karo
32,12,steam,1,Type_1,Karo
33,12,steam,1,Type_1,Karo
34,12,stem,1,Type_1,Karo
35,12,ace,1,Type_1,Karo
36,12,ase,0,Type_1,Karo
37,12,mace,1,Type_1,Karo
38,12,mase,0,Type_1,Karo
39,12,chase,1,Type_1,Karo
40,12,chat,1,Type_1,Karo
41,12,chats,1,Type_1,Karo
42,12,sham,1,Type_1,Karo
43,12,shame,1,Type_1,Karo
44,12,hae,1,Type_1,Karo
45,12,the,1,Type_1,Karo
46,12,thames,0,Type_1,Karo
47,12,cates,1,Type_1,Karo
48,12,stame,0,Type_1,Karo
49,12,same,1,Type_1,Karo
50,12,steach,0,Type_1,Karo
51,12,has,1,Type_1,Karo
52,12,ham,1,Type_1,Karo
53,12,sham,1,Type_1,Karo
54,12,chet,0,Type_1,Karo
