,Group,Word,Validity,Condition,Participant
0,5,sae,1,Type_0,Line
1,5,same,1,Type_0,Line
2,5,set,1,Type_0,Line
3,5,sat,1,Type_0,Line
4,5,ate,1,Type_0,Line
5,5,cast,1,Type_0,Line
6,5,haste,1,Type_0,Line
7,5,tame,1,Type_0,Line
8,5,sme,0,Type_0,Line
9,5,same,1,Type_0,Line
10,5,came,1,Type_0,Line
11,5,mate,1,Type_0,Line
12,5,mates,1,Type_0,Line
13,5,hat,1,Type_0,Line
14,5,hate,1,Type_0,Line
15,5,hates,0,Type_0,Line
16,5,hats,1,Type_0,Line
17,5,cat,1,Type_0,Line
18,5,cats,1,Type_0,Line
19,5,mat,1,Type_0,Line
20,5,mats,1,Type_0,Line
21,5,met,1,Type_0,Line
22,5,ct,0,Type_0,Line
23,5,hates,0,Type_0,Line
24,5,shat,1,Type_0,Line
25,5,mat,1,Type_0,Line
26,5,mats,1,Type_0,Line
27,5,hem,1,Type_0,Line
28,5,hems,1,Type_0,Line
29,5,mast,1,Type_0,Line
30,5,hems,1,Type_0,Line
31,5,shame,1,Type_0,Line
32,5,ace,1,Type_0,Line
33,5,aces,1,Type_0,Line
34,5,mac,1,Type_0,Line
35,5,macs,1,Type_0,Line
36,5,tace,1,Type_0,Line
37,5,taces,1,Type_0,Line
38,5,scam,1,Type_0,Line
39,5,haste,1,Type_0,Line
40,5,ham,1,Type_0,Line
41,5,hams,1,Type_0,Line
42,5,mash,1,Type_0,Line
43,5,shame,1,Type_0,Line
44,5,seat,1,Type_0,Line
45,5,meat,1,Type_0,Line
46,5,cheat,1,Type_0,Line
47,5,sheat,0,Type_0,Line
48,5,cam,1,Type_0,Line
49,5,cams,1,Type_0,Line
50,5,cheats,1,Type_0,Line
51,5,cash,1,Type_0,Line
52,5,heat,1,Type_0,Line
53,5,heats,1,Type_0,Line
54,5,as,1,Type_0,Line
55,5,ash,1,Type_0,Line
56,5,shame,1,Type_0,Line
57,5,tea,1,Type_0,Line
58,5,teas,1,Type_0,Line
59,5,team,1,Type_0,Line
60,5,teams,1,Type_0,Line
61,5,mesh,1,Type_0,Line
62,5,sham,1,Type_0,Line
63,5,at,1,Type_0,Line
64,5,has,1,Type_0,Line
65,5,haste,1,Type_0,Line
66,5,hast,1,Type_0,Line
67,5,sac,1,Type_0,Line
68,5,scate,0,Type_0,Line
69,5,sam,0,Type_0,Line
70,5,mat,1,Type_0,Line
71,5,mate,1,Type_0,Line
72,5,shate,0,Type_0,Line
