,Group,Word,Validity,Condition,Participant
0,8,team,1,Type_1,MHFA
1,8,teams,1,Type_1,MHFA
2,8,meat,1,Type_1,MHFA
3,8,cash,1,Type_1,MHFA
4,8,case,1,Type_1,MHFA
5,8,cast,1,Type_1,MHFA
6,8,haste,1,Type_1,MHFA
7,8,chaste,1,Type_1,MHFA
8,8,meats,1,Type_1,MHFA
9,8,heat,1,Type_1,MHFA
10,8,heats,1,Type_1,MHFA
11,8,sheat,0,Type_1,MHFA
12,8,came,1,Type_1,MHFA
13,8,mate,1,Type_1,MHFA
14,8,mates,1,Type_1,MHFA
15,8,hate,1,Type_1,MHFA
16,8,hates,0,Type_1,MHFA
17,8,shame,1,Type_1,MHFA
18,8,mesh,1,Type_1,MHFA
19,8,met,1,Type_1,MHFA
20,8,mets,0,Type_1,MHFA
21,8,mat,1,Type_1,MHFA
22,8,mats,1,Type_1,MHFA
23,8,cat,1,Type_1,MHFA
24,8,cats,1,Type_1,MHFA
25,8,cate,1,Type_1,MHFA
26,8,cheat,1,Type_1,MHFA
27,8,cheats,1,Type_1,MHFA
28,8,sham,1,Type_1,MHFA
29,8,sham,1,Type_1,MHFA
30,8,shames,0,Type_1,MHFA
31,8,shame,1,Type_1,MHFA
32,8,hem,1,Type_1,MHFA
33,8,hems,1,Type_1,MHFA
34,8,ham,1,Type_1,MHFA
35,8,hams,1,Type_1,MHFA
36,8,steam,1,Type_1,MHFA
37,8,meast,0,Type_1,MHFA
38,8,tame,1,Type_1,MHFA
39,8,tames,1,Type_1,MHFA
40,8,chate,0,Type_1,MHFA
41,8,chate,0,Type_1,MHFA
42,8,scam,1,Type_1,MHFA
43,8,scams,0,Type_1,MHFA
44,8,scate,0,Type_1,MHFA
45,8,same,1,Type_1,MHFA
46,8,stem,1,Type_1,MHFA
47,8,stam,0,Type_1,MHFA
48,8,smeat,0,Type_1,MHFA
49,8,chat,1,Type_1,MHFA
50,8,chats,1,Type_1,MHFA
51,8,hat,1,Type_1,MHFA
52,8,hats,1,Type_1,MHFA
53,8,mash,1,Type_1,MHFA
54,8,steam,1,Type_1,MHFA
55,8,ah,1,Type_1,MHFA
56,8,ahs,1,Type_1,MHFA
57,8,ate,1,Type_1,MHFA
58,8,eat,1,Type_1,MHFA
59,8,eats,1,Type_1,MHFA
60,8,ache,1,Type_1,MHFA
61,8,aches,1,Type_1,MHFA
62,8,ash,1,Type_1,MHFA
63,8,act,1,Type_1,MHFA
64,8,acts,1,Type_1,MHFA
65,8,hase,0,Type_1,MHFA
66,8,haste,1,Type_1,MHFA
67,8,hast,1,Type_1,MHFA
68,8,caste,1,Type_1,MHFA
69,8,maste,0,Type_1,MHFA
70,8,seam,1,Type_1,MHFA
71,8,chest,1,Type_1,MHFA
72,8,meta,1,Type_1,MHFA
73,8,metas,0,Type_1,MHFA
74,8,meats,1,Type_1,MHFA
75,8,cams,1,Type_1,MHFA
76,8,cast,1,Type_1,MHFA
77,8,sate,1,Type_1,MHFA
78,8,chasm,1,Type_1,MHFA
79,8,chast,0,Type_1,MHFA
80,8,heam,0,Type_1,MHFA
81,8,heat,1,Type_1,MHFA
82,8,heats,1,Type_1,MHFA
83,8,cam,1,Type_1,MHFA
84,8,aches,1,Type_1,MHFA
85,8,haste,1,Type_1,MHFA
86,8,set,1,Type_1,MHFA
87,8,seat,1,Type_1,MHFA
88,8,sat,1,Type_1,MHFA
89,8,tame,1,Type_1,MHFA
90,8,tames,1,Type_1,MHFA
91,8,met,1,Type_1,MHFA
92,8,mets,0,Type_1,MHFA
93,8,mesh,1,Type_1,MHFA
94,8,mash,1,Type_1,MHFA
95,8,smeat,0,Type_1,MHFA
