,Group,Word,Validity,Condition,Participant
0,13,mate,1,Type_1,MLP
1,13,mates,1,Type_1,MLP
2,13,met,1,Type_1,MLP
3,13,mets,0,Type_1,MLP
4,13,cat,1,Type_1,MLP
5,13,cats,1,Type_1,MLP
6,13,haste,1,Type_1,MLP
7,13,caste,1,Type_1,MLP
8,13,cast,1,Type_1,MLP
9,13,case,1,Type_1,MLP
10,13,shat,1,Type_1,MLP
11,13,sham,1,Type_1,MLP
12,13,mash,1,Type_1,MLP
13,13,mast,1,Type_1,MLP
14,13,came,1,Type_1,MLP
15,13,cam,1,Type_1,MLP
16,13,hate,1,Type_1,MLP
17,13,hates,0,Type_1,MLP
18,13,thames,0,Type_1,MLP
19,13,them,1,Type_1,MLP
20,13,the,1,Type_1,MLP
21,13,ate,1,Type_1,MLP
22,13,eat,1,Type_1,MLP
23,13,eats,1,Type_1,MLP
24,13,tame,1,Type_1,MLP
25,13,tames,1,Type_1,MLP
26,13,set,1,Type_1,MLP
27,13,sat,1,Type_1,MLP
28,13,ham,1,Type_1,MLP
29,13,hams,1,Type_1,MLP
30,13,sate,1,Type_1,MLP
31,13,stem,1,Type_1,MLP
32,13,chaste,1,Type_1,MLP
33,13,chase,1,Type_1,MLP
34,13,chem,0,Type_1,MLP
35,13,chems,0,Type_1,MLP
36,13,chest,1,Type_1,MLP
37,13,mech,0,Type_1,MLP
38,13,mecha,0,Type_1,MLP
39,13,tech,1,Type_1,MLP
40,13,techs,1,Type_1,MLP
41,13,teach,1,Type_1,MLP
42,13,team,1,Type_1,MLP
43,13,teams,1,Type_1,MLP
44,13,seam,1,Type_1,MLP
45,13,seat,1,Type_1,MLP
46,13,heat,1,Type_1,MLP
47,13,sea,1,Type_1,MLP
48,13,seat,1,Type_1,MLP
49,13,east,1,Type_1,MLP
50,13,emt,0,Type_1,MLP
51,13,sha,1,Type_1,MLP
52,13,sham,1,Type_1,MLP
53,13,tame,1,Type_1,MLP
54,13,tames,1,Type_1,MLP
55,13,cat,1,Type_1,MLP
56,13,cats,1,Type_1,MLP
57,13,the,1,Type_1,MLP
58,13,scat,1,Type_1,MLP
59,13,sam,0,Type_1,MLP
60,13,same,1,Type_1,MLP
61,13,set,1,Type_1,MLP
62,13,hate,1,Type_1,MLP
63,13,hates,0,Type_1,MLP
64,13,case,1,Type_1,MLP
65,13,cash,1,Type_1,MLP
66,13,mesh,1,Type_1,MLP
67,13,ache,1,Type_1,MLP
68,13,aches,1,Type_1,MLP
69,13,mach,1,Type_1,MLP
70,13,ate,1,Type_1,MLP
71,13,eta,1,Type_1,MLP
72,13,team,1,Type_1,MLP
73,13,teams,1,Type_1,MLP
74,13,heat,1,Type_1,MLP
75,13,heats,1,Type_1,MLP
76,13,each,1,Type_1,MLP
