,Group,Word,Validity,Condition,Participant
0,1,has,1,Type_1,MSL
1,1,mate,1,Type_1,MSL
2,1,mats,1,Type_1,MSL
3,1,hate,1,Type_1,MSL
4,1,hates,0,Type_1,MSL
5,1,she,1,Type_1,MSL
6,1,them,1,Type_1,MSL
7,1,cat,1,Type_1,MSL
8,1,cats,1,Type_1,MSL
9,1,mt,0,Type_1,MSL
10,1,met,1,Type_1,MSL
11,1,sat,1,Type_1,MSL
12,1,ham,1,Type_1,MSL
13,1,sham,1,Type_1,MSL
14,1,shat,1,Type_1,MSL
15,1,scat,1,Type_1,MSL
16,1,scam,1,Type_1,MSL
17,1,cam,1,Type_1,MSL
18,1,came,1,Type_1,MSL
19,1,haste,1,Type_1,MSL
20,1,cast,1,Type_1,MSL
21,1,caste,1,Type_1,MSL
22,1,mash,1,Type_1,MSL
23,1,team,1,Type_1,MSL
24,1,teams,1,Type_1,MSL
25,1,sea,1,Type_1,MSL
26,1,as,1,Type_1,MSL
27,1,sat,1,Type_1,MSL
28,1,hat,1,Type_1,MSL
29,1,heat,1,Type_1,MSL
30,1,team,1,Type_1,MSL
31,1,teas,1,Type_1,MSL
32,1,tea,1,Type_1,MSL
33,1,tech,1,Type_1,MSL
34,1,am,1,Type_1,MSL
35,1,hem,1,Type_1,MSL
36,1,ate,1,Type_1,MSL
37,1,eat,1,Type_1,MSL
38,1,mam,0,Type_1,MSL
39,1,steam,1,Type_1,MSL
40,1,set,1,Type_1,MSL
41,1,steam,1,Type_1,MSL
42,1,case,1,Type_1,MSL
43,1,chase,1,Type_1,MSL
44,1,mesh,1,Type_1,MSL
45,1,the,1,Type_1,MSL
46,1,meta,1,Type_1,MSL
47,1,schema,1,Type_1,MSL
48,1,cah,0,Type_1,MSL
49,1,cash,1,Type_1,MSL
50,1,chase,1,Type_1,MSL
51,1,tase,0,Type_1,MSL
52,1,hes,1,Type_1,MSL
53,1,mase,0,Type_1,MSL
54,1,cam,1,Type_1,MSL
55,1,set,1,Type_1,MSL
56,1,seat,1,Type_1,MSL
57,1,sme,0,Type_1,MSL
58,1,same,1,Type_1,MSL
59,1,shame,1,Type_1,MSL
60,1,tame,1,Type_1,MSL
