,Group,Word,Validity,Condition,Participant
0,10,team,1,Type_0,MW
1,10,tea,1,Type_0,MW
2,10,teas,1,Type_0,MW
3,10,tac,0,Type_0,MW
4,10,tacs,0,Type_0,MW
5,10,tech,1,Type_0,MW
6,10,teach,1,Type_0,MW
7,10,teachs,0,Type_0,MW
8,10,teams,1,Type_0,MW
9,10,ate,1,Type_0,MW
10,10,ates,1,Type_0,MW
11,10,mets,0,Type_0,MW
12,10,met,1,Type_0,MW
13,10,meat,1,Type_0,MW
14,10,meats,1,Type_0,MW
15,10,team,1,Type_0,MW
16,10,teams,1,Type_0,MW
17,10,seam,1,Type_0,MW
18,10,mash,1,Type_0,MW
19,10,mat,1,Type_0,MW
20,10,mats,1,Type_0,MW
21,10,mac,1,Type_0,MW
22,10,me,1,Type_0,MW
23,10,math,1,Type_0,MW
24,10,maths,1,Type_0,MW
25,10,set,1,Type_0,MW
26,10,seat,1,Type_0,MW
27,10,shame,1,Type_0,MW
28,10,sham,1,Type_0,MW
29,10,hat,1,Type_0,MW
30,10,hats,1,Type_0,MW
31,10,cat,1,Type_0,MW
32,10,cats,1,Type_0,MW
33,10,stem,1,Type_0,MW
34,10,steam,1,Type_0,MW
35,10,cash,1,Type_0,MW
36,10,them,1,Type_0,MW
37,10,thats,0,Type_0,MW
38,10,that,0,Type_0,MW
39,10,he,1,Type_0,MW
40,10,she,1,Type_0,MW
41,10,mesh,1,Type_0,MW
42,10,mash,1,Type_0,MW
43,10,ate,1,Type_0,MW
44,10,mate,1,Type_0,MW
45,10,mates,1,Type_0,MW
46,10,ham,1,Type_0,MW
47,10,hams,1,Type_0,MW
48,10,heat,1,Type_0,MW
49,10,heats,1,Type_0,MW
50,10,sat,1,Type_0,MW
51,10,set,1,Type_0,MW
52,10,sea,1,Type_0,MW
53,10,seat,1,Type_0,MW
54,10,sham,1,Type_0,MW
55,10,chase,1,Type_0,MW
56,10,chaste,1,Type_0,MW
57,10,haste,1,Type_0,MW
58,10,ache,1,Type_0,MW
59,10,aches,1,Type_0,MW
60,10,hate,1,Type_0,MW
61,10,hates,0,Type_0,MW
62,10,ta,1,Type_0,MW
63,10,ma,1,Type_0,MW
64,10,tea,1,Type_0,MW
65,10,tash,0,Type_0,MW
66,10,ash,1,Type_0,MW
67,10,set,1,Type_0,MW
68,10,eat,1,Type_0,MW
