,Group,Word,Validity,Condition,Participant
0,2,tech,1,Type_0,Mads
1,2,case,1,Type_0,Mads
2,2,chase,1,Type_0,Mads
3,2,came,1,Type_0,Mads
4,2,tame,1,Type_0,Mads
5,2,tames,1,Type_0,Mads
6,2,cat,1,Type_0,Mads
7,2,cats,1,Type_0,Mads
8,2,hat,1,Type_0,Mads
9,2,hats,1,Type_0,Mads
10,2,sat,1,Type_0,Mads
11,2,cam,1,Type_0,Mads
12,2,cash,1,Type_0,Mads
13,2,mash,1,Type_0,Mads
14,2,match,1,Type_0,Mads
15,2,matches,1,Type_0,Mads
16,2,matches,1,Type_0,Mads
17,2,hate,1,Type_0,Mads
18,2,hates,0,Type_0,Mads
19,2,hate,1,Type_0,Mads
20,2,hates,0,Type_0,Mads
21,2,shame,1,Type_0,Mads
22,2,a,0,Type_0,Mads
23,2,tea,1,Type_0,Mads
24,2,ate,1,Type_0,Mads
25,2,eat,1,Type_0,Mads
26,2,team,1,Type_0,Mads
27,2,teams,1,Type_0,Mads
28,2,eats,1,Type_0,Mads
29,2,mate,1,Type_0,Mads
30,2,mates,1,Type_0,Mads
31,2,came,1,Type_0,Mads
32,2,met,1,Type_0,Mads
33,2,meat,1,Type_0,Mads
34,2,he,1,Type_0,Mads
35,2,has,1,Type_0,Mads
36,2,cash,1,Type_0,Mads
37,2,tase,0,Type_0,Mads
38,2,ache,1,Type_0,Mads
39,2,aches,1,Type_0,Mads
40,2,athem,0,Type_0,Mads
41,2,satch,0,Type_0,Mads
42,2,sach,0,Type_0,Mads
43,2,steam,1,Type_0,Mads
44,2,stem,1,Type_0,Mads
45,2,mash,1,Type_0,Mads
46,2,mac,1,Type_0,Mads
47,2,cat,1,Type_0,Mads
48,2,cats,1,Type_0,Mads
49,2,shat,1,Type_0,Mads
50,2,hets,1,Type_0,Mads
51,2,ham,1,Type_0,Mads
52,2,hams,1,Type_0,Mads
53,2,hams,1,Type_0,Mads
54,2,scam,1,Type_0,Mads
55,2,heat,1,Type_0,Mads
56,2,heat,1,Type_0,Mads
57,2,heats,1,Type_0,Mads
58,2,hate,1,Type_0,Mads
59,2,hates,0,Type_0,Mads
60,2,math,1,Type_0,Mads
61,2,cash,1,Type_0,Mads
62,2,case,1,Type_0,Mads
63,2,sea,1,Type_0,Mads
64,2,ace,1,Type_0,Mads
65,2,aces,1,Type_0,Mads
66,2,meta,1,Type_0,Mads
67,2,mash,1,Type_0,Mads
68,2,team,1,Type_0,Mads
69,2,teams,1,Type_0,Mads
70,2,chase,1,Type_0,Mads
71,2,hate,1,Type_0,Mads
72,2,hates,0,Type_0,Mads
73,2,shat,1,Type_0,Mads
74,2,eats,1,Type_0,Mads
75,2,ash,1,Type_0,Mads
76,2,hat,1,Type_0,Mads
77,2,has,1,Type_0,Mads
78,2,stem,1,Type_0,Mads
