,Group,Word,Validity,Condition,Participant
0,9,tea,1,Type_1,Oli
1,9,team,1,Type_1,Oli
2,9,teams,1,Type_1,Oli
3,9,teach,1,Type_1,Oli
4,9,shame,1,Type_1,Oli
5,9,sea,1,Type_1,Oli
6,9,teas,1,Type_1,Oli
7,9,seas,0,Type_1,Oli
8,9,shat,1,Type_1,Oli
9,9,chem,0,Type_1,Oli
10,9,cat,1,Type_1,Oli
11,9,cats,1,Type_1,Oli
12,9,met,1,Type_1,Oli
13,9,meat,1,Type_1,Oli
14,9,meats,1,Type_1,Oli
15,9,heat,1,Type_1,Oli
16,9,hat,1,Type_1,Oli
17,9,cat,1,Type_1,Oli
18,9,cats,1,Type_1,Oli
19,9,hats,1,Type_1,Oli
20,9,heats,1,Type_1,Oli
21,9,heat,1,Type_1,Oli
22,9,cheat,1,Type_1,Oli
23,9,cheats,1,Type_1,Oli
24,9,mast,1,Type_1,Oli
25,9,chest,1,Type_1,Oli
26,9,chat,1,Type_1,Oli
27,9,chats,1,Type_1,Oli
28,9,same,1,Type_1,Oli
29,9,a,0,Type_1,Oli
30,9,me,1,Type_1,Oli
31,9,met,1,Type_1,Oli
32,9,case,1,Type_1,Oli
33,9,cats,1,Type_1,Oli
34,9,teach,1,Type_1,Oli
35,9,tame,1,Type_1,Oli
36,9,tams,1,Type_1,Oli
37,9,tam,1,Type_1,Oli
38,9,at,1,Type_1,Oli
39,9,the,1,Type_1,Oli
40,9,ace,1,Type_1,Oli
41,9,has,1,Type_1,Oli
42,9,sat,1,Type_1,Oli
43,9,set,1,Type_1,Oli
44,9,sea,1,Type_1,Oli
45,9,seas,0,Type_1,Oli
46,9,sets,0,Type_1,Oli
47,9,shame,1,Type_1,Oli
48,9,stem,1,Type_1,Oli
49,9,tech,1,Type_1,Oli
50,9,ham,1,Type_1,Oli
51,9,hams,1,Type_1,Oli
52,9,cam,1,Type_1,Oli
53,9,cat,1,Type_1,Oli
54,9,cate,1,Type_1,Oli
55,9,cates,1,Type_1,Oli
56,9,mate,1,Type_1,Oli
57,9,mates,1,Type_1,Oli
58,9,hate,1,Type_1,Oli
59,9,hates,0,Type_1,Oli
60,9,smash,0,Type_1,Oli
61,9,seam,1,Type_1,Oli
62,9,chat,1,Type_1,Oli
63,9,tesh,0,Type_1,Oli
64,9,hems,1,Type_1,Oli
65,9,hem,1,Type_1,Oli
66,9,he,1,Type_1,Oli
67,9,hes,1,Type_1,Oli
68,9,has,1,Type_1,Oli
69,9,heat,1,Type_1,Oli
70,9,meat,1,Type_1,Oli
71,9,seat,1,Type_1,Oli
72,9,sheat,0,Type_1,Oli
73,9,shear,0,Type_1,Oli
74,9,tear,0,Type_1,Oli
75,9,tears,0,Type_1,Oli
76,9,mear,0,Type_1,Oli
77,9,mars,0,Type_1,Oli
78,9,hare,0,Type_1,Oli
79,9,hares,0,Type_1,Oli
80,9,care,0,Type_1,Oli
81,9,chat,1,Type_1,Oli
82,9,sht,0,Type_1,Oli
83,9,shat,1,Type_1,Oli
84,9,mat,1,Type_1,Oli
85,9,mats,1,Type_1,Oli
86,9,mesh,1,Type_1,Oli
87,9,mec,0,Type_1,Oli
88,9,steam,1,Type_1,Oli
