,Group,Word,Validity,Condition,Participant
0,11,sem,0,Type_1,RGH
1,11,sam,0,Type_1,RGH
2,11,has,1,Type_1,RGH
3,11,set,1,Type_1,RGH
4,11,sat,1,Type_1,RGH
5,11,hat,1,Type_1,RGH
6,11,hats,1,Type_1,RGH
7,11,cat,1,Type_1,RGH
8,11,cats,1,Type_1,RGH
9,11,mesh,1,Type_1,RGH
10,11,mash,1,Type_1,RGH
11,11,came,1,Type_1,RGH
12,11,cash,1,Type_1,RGH
13,11,ham,1,Type_1,RGH
14,11,hams,1,Type_1,RGH
15,11,hem,1,Type_1,RGH
16,11,hems,1,Type_1,RGH
17,11,scat,1,Type_1,RGH
18,11,scam,1,Type_1,RGH
19,11,case,1,Type_1,RGH
20,11,sea,1,Type_1,RGH
21,11,seam,1,Type_1,RGH
22,11,cam,1,Type_1,RGH
23,11,cast,1,Type_1,RGH
24,11,mesh,1,Type_1,RGH
25,11,mash,1,Type_1,RGH
26,11,as,1,Type_1,RGH
27,11,ase,0,Type_1,RGH
28,11,ace,1,Type_1,RGH
29,11,ache,1,Type_1,RGH
30,11,eat,1,Type_1,RGH
31,11,ate,1,Type_1,RGH
32,11,hace,0,Type_1,RGH
33,11,hate,1,Type_1,RGH
34,11,hates,0,Type_1,RGH
35,11,has,1,Type_1,RGH
36,11,hast,1,Type_1,RGH
37,11,haste,1,Type_1,RGH
38,11,smat,0,Type_1,RGH
39,11,heat,1,Type_1,RGH
40,11,tea,1,Type_1,RGH
41,11,hat,1,Type_1,RGH
42,11,the,1,Type_1,RGH
43,11,them,1,Type_1,RGH
44,11,tech,1,Type_1,RGH
45,11,mac,1,Type_1,RGH
46,11,macs,1,Type_1,RGH
47,11,met,1,Type_1,RGH
48,11,meth,1,Type_1,RGH
49,11,mesh,1,Type_1,RGH
50,11,mash,1,Type_1,RGH
51,11,set,1,Type_1,RGH
52,11,sat,1,Type_1,RGH
53,11,shat,1,Type_1,RGH
54,11,shame,1,Type_1,RGH
55,11,tame,1,Type_1,RGH
56,11,tames,1,Type_1,RGH
57,11,scam,1,Type_1,RGH
58,11,shame,1,Type_1,RGH
59,11,hem,1,Type_1,RGH
60,11,as,1,Type_1,RGH
61,11,at,1,Type_1,RGH
62,11,ace,1,Type_1,RGH
63,11,ate,1,Type_1,RGH
64,11,mat,1,Type_1,RGH
65,11,mats,1,Type_1,RGH
66,11,mate,1,Type_1,RGH
67,11,mates,1,Type_1,RGH
68,11,cate,1,Type_1,RGH
69,11,cash,1,Type_1,RGH
70,11,mase,0,Type_1,RGH
71,11,schem,0,Type_1,RGH
72,11,stem,1,Type_1,RGH
73,11,steam,1,Type_1,RGH
74,11,team,1,Type_1,RGH
75,11,teams,1,Type_1,RGH
