,Group,Word,Validity,Condition,Participant
0,3,mash,1,Type_1,SGT
1,3,mast,1,Type_1,SGT
2,3,chase,1,Type_1,SGT
3,3,mase,0,Type_1,SGT
4,3,mace,1,Type_1,SGT
5,3,stem,1,Type_1,SGT
6,3,steam,1,Type_1,SGT
7,3,team,1,Type_1,SGT
8,3,heat,1,Type_1,SGT
9,3,seat,1,Type_1,SGT
10,3,cat,1,Type_1,SGT
11,3,case,1,Type_1,SGT
12,3,cast,1,Type_1,SGT
13,3,chase,1,Type_1,SGT
14,3,match,1,Type_1,SGT
15,3,chat,1,Type_1,SGT
16,3,teams,1,Type_1,SGT
17,3,scate,0,Type_1,SGT
18,3,scates,0,Type_1,SGT
19,3,them,1,Type_1,SGT
20,3,cat,1,Type_1,SGT
21,3,cats,1,Type_1,SGT
22,3,mat,1,Type_1,SGT
23,3,chest,1,Type_1,SGT
24,3,schema,1,Type_1,SGT
25,3,mate,1,Type_1,SGT
26,3,tea,1,Type_1,SGT
27,3,teams,1,Type_1,SGT
28,3,tema,0,Type_1,SGT
29,3,tame,1,Type_1,SGT
30,3,mase,0,Type_1,SGT
31,3,ace,1,Type_1,SGT
32,3,the,1,Type_1,SGT
33,3,them,1,Type_1,SGT
34,3,he,1,Type_1,SGT
35,3,she,1,Type_1,SGT
36,3,thema,0,Type_1,SGT
37,3,mac,1,Type_1,SGT
38,3,met,1,Type_1,SGT
39,3,tam,1,Type_1,SGT
40,3,tem,0,Type_1,SGT
41,3,,0,Type_1,SGT
