,Group,Word,Validity,Condition,Participant
0,8,met,1,Type_1,Sebastian
1,8,case,1,Type_1,Sebastian
2,8,hat,1,Type_1,Sebastian
3,8,hats,1,Type_1,Sebastian
4,8,hate,1,Type_1,Sebastian
5,8,hates,0,Type_1,Sebastian
6,8,same,1,Type_1,Sebastian
7,8,came,1,Type_1,Sebastian
8,8,set,1,Type_1,Sebastian
9,8,heat,1,Type_1,Sebastian
10,8,heats,1,Type_1,Sebastian
11,8,cat,1,Type_1,Sebastian
12,8,cats,1,Type_1,Sebastian
13,8,tea,1,Type_1,Sebastian
14,8,teas,1,Type_1,Sebastian
15,8,team,1,Type_1,Sebastian
16,8,teams,1,Type_1,Sebastian
17,8,heast,0,Type_1,Sebastian
18,8,hase,0,Type_1,Sebastian
19,8,meat,1,Type_1,Sebastian
20,8,meats,1,Type_1,Sebastian
21,8,mate,1,Type_1,Sebastian
22,8,mates,1,Type_1,Sebastian
23,8,teach,1,Type_1,Sebastian
24,8,same,1,Type_1,Sebastian
25,8,case,1,Type_1,Sebastian
26,8,chase,1,Type_1,Sebastian
27,8,mac,1,Type_1,Sebastian
28,8,maces,1,Type_1,Sebastian
29,8,mace,1,Type_1,Sebastian
30,8,meh,0,Type_1,Sebastian
31,8,hame,1,Type_1,Sebastian
32,8,scam,1,Type_1,Sebastian
33,8,tame,1,Type_1,Sebastian
34,8,tames,1,Type_1,Sebastian
35,8,them,1,Type_1,Sebastian
36,8,thames,0,Type_1,Sebastian
37,8,thems,0,Type_1,Sebastian
38,8,ac,0,Type_1,Sebastian
39,8,ace,1,Type_1,Sebastian
40,8,aces,1,Type_1,Sebastian
41,8,shame,1,Type_1,Sebastian
42,8,tah,0,Type_1,Sebastian
43,8,chat,1,Type_1,Sebastian
44,8,chats,1,Type_1,Sebastian
45,8,tac,0,Type_1,Sebastian
46,8,meta,1,Type_1,Sebastian
47,8,metas,0,Type_1,Sebastian
48,8,schema,1,Type_1,Sebastian
49,8,ate,1,Type_1,Sebastian
50,8,eat,1,Type_1,Sebastian
51,8,eats,1,Type_1,Sebastian
52,8,thames,0,Type_1,Sebastian
