,Group,Word,Validity,Condition,Participant
0,5,tea,1,Type_1,Sim
1,5,teas,1,Type_1,Sim
2,5,mast,1,Type_1,Sim
3,5,masts,0,Type_1,Sim
4,5,set,1,Type_1,Sim
5,5,me,1,Type_1,Sim
6,5,met,1,Type_1,Sim
7,5,sat,1,Type_1,Sim
8,5,hat,1,Type_1,Sim
9,5,hats,1,Type_1,Sim
10,5,met,1,Type_1,Sim
11,5,she,1,Type_1,Sim
12,5,he,1,Type_1,Sim
13,5,hes,1,Type_1,Sim
14,5,cat,1,Type_1,Sim
15,5,cats,1,Type_1,Sim
16,5,cheat,1,Type_1,Sim
17,5,cheats,1,Type_1,Sim
18,5,chase,1,Type_1,Sim
19,5,sat,1,Type_1,Sim
20,5,hast,1,Type_1,Sim
21,5,teach,1,Type_1,Sim
22,5,cet,0,Type_1,Sim
23,5,chat,1,Type_1,Sim
24,5,chats,1,Type_1,Sim
25,5,mat,1,Type_1,Sim
26,5,mats,1,Type_1,Sim
27,5,shame,1,Type_1,Sim
28,5,shames,0,Type_1,Sim
29,5,shet,0,Type_1,Sim
30,5,same,1,Type_1,Sim
31,5,ace,1,Type_1,Sim
32,5,aces,1,Type_1,Sim
33,5,acet,0,Type_1,Sim
34,5,as,1,Type_1,Sim
35,5,ham,1,Type_1,Sim
36,5,hams,1,Type_1,Sim
37,5,heat,1,Type_1,Sim
38,5,heats,1,Type_1,Sim
39,5,tea,1,Type_1,Sim
40,5,seam,1,Type_1,Sim
41,5,seat,1,Type_1,Sim
42,5,case,1,Type_1,Sim
43,5,scat,1,Type_1,Sim
44,5,cam,1,Type_1,Sim
45,5,cams,1,Type_1,Sim
46,5,sam,0,Type_1,Sim
47,5,mate,1,Type_1,Sim
48,5,mates,1,Type_1,Sim
