,Group,Word,Validity,Condition,Participant
0,13,hat,1,Type_1,stine
1,13,hats,1,Type_1,stine
2,13,hem,1,Type_1,stine
3,13,hems,1,Type_1,stine
4,13,case,1,Type_1,stine
5,13,cam,1,Type_1,stine
6,13,came,1,Type_1,stine
7,13,sham,1,Type_1,stine
8,13,shame,1,Type_1,stine
9,13,tame,1,Type_1,stine
10,13,ham,1,Type_1,stine
11,13,hams,1,Type_1,stine
12,13,sat,1,Type_1,stine
13,13,cat,1,Type_1,stine
14,13,cats,1,Type_1,stine
15,13,cast,1,Type_1,stine
16,13,ame,0,Type_1,stine
17,13,mate,1,Type_1,stine
18,13,mates,1,Type_1,stine
19,13,same,1,Type_1,stine
20,13,ace,1,Type_1,stine
21,13,aces,1,Type_1,stine
22,13,chat,1,Type_1,stine
23,13,chats,1,Type_1,stine
24,13,hat,1,Type_1,stine
25,13,hate,1,Type_1,stine
26,13,hates,0,Type_1,stine
27,13,ate,1,Type_1,stine
28,13,eat,1,Type_1,stine
29,13,eats,1,Type_1,stine
30,13,seat,1,Type_1,stine
31,13,seam,1,Type_1,stine
32,13,same,1,Type_1,stine
33,13,heat,1,Type_1,stine
34,13,she,1,Type_1,stine
35,13,he,1,Type_1,stine
36,13,cash,1,Type_1,stine
37,13,tes,0,Type_1,stine
38,13,tea,1,Type_1,stine
39,13,cast,1,Type_1,stine
40,13,me,1,Type_1,stine
41,13,meat,1,Type_1,stine
42,13,steam,1,Type_1,stine
43,13,team,1,Type_1,stine
44,13,teams,1,Type_1,stine
45,13,shat,1,Type_1,stine
46,13,chest,1,Type_1,stine
47,13,chaste,1,Type_1,stine
48,13,haste,1,Type_1,stine
49,13,mash,1,Type_1,stine
50,13,seat,1,Type_1,stine
