,Group,Word,Validity,Condition,Participant
0,7,chat,1,Type_1,tsls2
1,7,chats,1,Type_1,tsls2
2,7,sheat,0,Type_1,tsls2
3,7,cheat,1,Type_1,tsls2
4,7,cheats,1,Type_1,tsls2
5,7,sheats,0,Type_1,tsls2
6,7,mesh,1,Type_1,tsls2
7,7,meat,1,Type_1,tsls2
8,7,meats,1,Type_1,tsls2
9,7,heats,1,Type_1,tsls2
10,7,heat,1,Type_1,tsls2
11,7,ceast,0,Type_1,tsls2
12,7,case,1,Type_1,tsls2
13,7,hase,0,Type_1,tsls2
14,7,mesh,1,Type_1,tsls2
15,7,mash,1,Type_1,tsls2
16,7,cat,1,Type_1,tsls2
17,7,ceta,0,Type_1,tsls2
18,7,ace,1,Type_1,tsls2
19,7,ash,1,Type_1,tsls2
20,7,ast,0,Type_1,tsls2
21,7,mat,1,Type_1,tsls2
22,7,mate,1,Type_1,tsls2
23,7,mates,1,Type_1,tsls2
24,7,hates,0,Type_1,tsls2
25,7,hate,1,Type_1,tsls2
26,7,seat,1,Type_1,tsls2
27,7,shame,1,Type_1,tsls2
28,7,chat,1,Type_1,tsls2
29,7,mech,0,Type_1,tsls2
30,7,mast,1,Type_1,tsls2
31,7,hase,0,Type_1,tsls2
32,7,cat,1,Type_1,tsls2
33,7,cats,1,Type_1,tsls2
34,7,atem,0,Type_1,tsls2
35,7,meta,1,Type_1,tsls2
36,7,tec,0,Type_1,tsls2
37,7,ash,1,Type_1,tsls2
38,7,team,1,Type_1,tsls2
39,7,scam,1,Type_1,tsls2
40,7,sceam,0,Type_1,tsls2
41,7,ham,1,Type_1,tsls2
42,7,hams,1,Type_1,tsls2
43,7,met,1,Type_1,tsls2
44,7,mets,0,Type_1,tsls2
45,7,hats,1,Type_1,tsls2
46,7,hat,1,Type_1,tsls2
47,7,act,1,Type_1,tsls2
48,7,acts,1,Type_1,tsls2
49,7,sat,1,Type_1,tsls2
50,7,same,1,Type_1,tsls2
51,7,tame,1,Type_1,tsls2
52,7,tames,1,Type_1,tsls2
53,7,tace,1,Type_1,tsls2
54,7,eat,1,Type_1,tsls2
55,7,eats,1,Type_1,tsls2
56,7,each,1,Type_1,tsls2
57,7,eachs,0,Type_1,tsls2
58,7,case,1,Type_1,tsls2
59,7,came,1,Type_1,tsls2
60,7,them,1,Type_1,tsls2
61,7,teach,1,Type_1,tsls2
62,7,teachs,0,Type_1,tsls2
63,7,steach,0,Type_1,tsls2
64,7,stem,1,Type_1,tsls2
65,7,stema,0,Type_1,tsls2
66,7,stac,0,Type_1,tsls2
67,7,stach,0,Type_1,tsls2
68,7,thame,0,Type_1,tsls2
69,7,thames,0,Type_1,tsls2
70,7,the,1,Type_1,tsls2
71,7,shame,1,Type_1,tsls2
72,7,tasche,0,Type_1,tsls2
73,7,cash,1,Type_1,tsls2
74,7,cesh,0,Type_1,tsls2
75,7,eath,1,Type_1,tsls2
76,7,thame,0,Type_1,tsls2
